                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0685,                0.53001,                0.80138,                0.75931,                0.56042,                0.64502,                0.41864,                 1.0191,                0.50926,                0.80876,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.0577,                0.52599,                 0.7994,                 0.8135,                0.58495,                0.68205,                0.43772,                 1.0271,                0.50367,                0.80949,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.0951,                0.53976,                0.80037,                0.77659,                0.58413,                0.67694,                0.43117,                 1.0207,                0.53776,                0.80803,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.0883,                 0.5356,                0.80099,                0.74206,                0.62363,                0.66949,                0.43795,                  0.995,                0.50197,                 0.8063,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.0469,                0.51434,                0.80063,                0.82534,                0.59544,                0.69021,                0.43688,                  1.039,                0.49889,                0.81108,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.0622,                0.52419,                0.79701,                0.77507,                0.65043,                 0.6985,                0.45237,                 1.0024,                0.49829,                0.80616,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.0648,                0.51689,                0.79968,                0.74941,                0.65947,                0.69007,                0.43356,                  1.052,                0.51007,                0.80791,               0.000755,               0.000755,               0.000755
                     43,                 1.0612,                0.51494,                0.79937,                0.67713,                 0.6114,                0.66002,                0.42397,                 1.0439,                0.51563,                0.80915,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.0509,                0.50942,                0.79799,                0.73935,                0.63764,                0.68735,                0.43506,                0.99491,                0.49737,                0.80774,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.0581,                 0.5128,                0.79903,                0.77679,                0.57312,                0.67012,                0.43135,                 1.0054,                0.50691,                0.80787,             0.00071788,             0.00071788,             0.00071788
                     46,                   1.05,                0.50922,                0.79747,                0.78176,                0.62882,                0.68578,                0.43903,                 1.0081,                0.48848,                0.80843,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.0313,                0.50352,                0.79824,                0.84857,                0.61318,                0.70456,                0.43377,                 1.0189,                 0.4875,                0.80886,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.0542,                0.50488,                0.79484,                0.88686,                0.59647,                0.70145,                 0.4479,                 1.0204,                0.48871,                0.80937,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.0212,                0.49675,                0.79796,                0.79639,                0.67107,                0.70855,                0.44138,                 1.0144,                0.49547,                0.80892,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.0252,                0.49327,                0.79552,                 0.6874,                0.67439,                0.70136,                0.44609,                 1.0183,                0.47995,                0.80701,               0.000656,               0.000656,               0.000656
                     51,                0.99865,                0.48761,                 0.7987,                0.71076,                0.61822,                0.66832,                0.42913,                0.99914,                0.49493,                0.80828,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.0084,                0.49315,                0.79526,                0.67385,                0.58944,                0.63773,                0.40484,                 1.0336,                0.51692,                0.80715,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.0394,                0.49993,                0.79766,                0.78869,                0.57766,                0.67021,                0.41909,                 1.0328,                0.49451,                0.81146,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.0108,                0.48736,                0.79615,                0.80721,                0.59901,                0.67731,                0.44122,                 1.0002,                0.47922,                0.80771,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.0117,                0.48656,                0.79502,                0.79901,                0.62438,                0.68665,                0.44896,                0.96821,                0.47704,                0.80467,             0.00059413,             0.00059413,             0.00059413
                     56,                0.99048,                0.47804,                0.79579,                0.79072,                0.67138,                0.70065,                0.44272,                 1.0282,                0.48833,                0.80771,             0.00058175,             0.00058175,             0.00058175
